Hindi,English
अंग्रेज़ी पढ़ाना उसका पेशा है।,teaching english is his profession
मैं वापस आऊँगा।,i'll come back
उसने हमारा स्वागत किया।,he bade us welcome
एक पागल इनसान को अपने किये-धरे के लिए ज़िम्मेदार नहीं ठहराया जा सकता।,a madman is not accountable for his actions
मैं उसकी अचानक मौत की खबर से चौंक गया।,i was surprised at the news of his sudden death
तुमने अपनी कमीज़ उलटी पहनी हुई है।,you are wearing your shirt inside out
तुमने अपनी टी-शर्ट उलटी पहनी हुई है।,you are wearing your shirt inside out
खेत में बकरियों की देखभाल करने वाले आदमी को क्या बुलाया जाता है,what do you call a man who takes care of sheep in the field
आओ मैं तुम्हें हार का स्वाद चखाऊँगा।,come on i will best you
आओ मैं तुम्हें हार का स्वाद चखाऊँगा।,come on i will show you the taste of defeat
क्या मैं चंद सवाल पूछ सकती हूँ,may i ask a few questions
गोलीबारी लगभग दोपहर के बारह बजे शुरू हुई।,the shooting started around noon
तुमने उसे कुछ भी नहीं बताया,you didn't tell him anything
रेडियो बंद है।,the radio is powered off
मैं तुम्हारे जितना लम्बा हूँ।,i'm as tall as you
उसने मुझसे माफ़ी माँगी।,he asked my pardon
मुझे पता है उसने क्यों किया था।,i know why he did it
उसने मुझे मेरे पैसे नहीं लौटाए।,she didn't give me my money back
मुझे लगता है कि मैं तुम्हारी आँखों में खिंचा जा रहा हूँ।,i feel like i'm being drawn into your eyes
तुम्हारे पास कितनी किताबें हैं,how many books do you have
इंसाफ़ महंगा होता है।,justice is expensive
उसके नाना की उम्र क्या होनी चाहिए,how old might his grandfather be
उनकी आँखों में उसका बर्ताव बच्चे जैसा था।,they looked on her behavior as childish
उनकी आँखों में उसके बर्ताव में बहुत बचपना था।,they looked on her behavior as childish
मैं उसके बारे में पूछ-ताछ की।,i inquired after him
मैं अपने होमवर्क में लगा हुआ हूँ।,i'm busy with my homework
विष्व में ऐसी कोई भी वस्तु नहीं है जिसपर सूर्य का प्रभाव न पड़ता हो।,there is nothing on earth that is not affected by the sun
दुनिया में ऐसी कोई भी चीज़ नहीं है जिसपर सूरज का असर न पड़ता हो।,there is nothing on earth that is not affected by the sun
मुझे बहुत मज़ेदार लगती है,it seems interesting to me
मुझे बहुत दिलचस्प लगती है,it seems interesting to me
दुश्मन पास नहीं आ पाएगा।,the enemy won't get close
मुझे अपने आलसी होने पर शर्म आती है।,i am ashamed of having been lazy
वह गाने लगी।,she began to sing
तुम्हारी खाँसी तुम्हारे सिगरेट पीने की वजह से है।,your cough is the consequence of smoking
हर किसी को अपनी स्वतंत्रता का उपयोग करने का अधिकार होता है।,everyone has a right to enjoy his liberty
हर घर में बगीचा था।,every house had a garden
हे मेरे भगवान,oh my god
वह पुलिस अफ़सर को देखते ही भाग गया।,the instant he saw the policeman he ran away
मैं उसकी बकबक से तंग आ गया हूँ।,i'm fed up with her chatter
पहेली को सुलझाने में बिलकुल भी समय नहीं लगा।,the solution of the puzzle required no time
यह रोडिका की पाँचवी किताब थी।,this was rodica's fifth book
यह मेरा है और वह तुम्हारा है।,this is mine and that's yours
घायल आदमी को इस कंबल से ढक दो।,cover up the injured man with this blanket
मुझे लगा कि मुझे उसकी मदद करनी चाहिए।,i felt that i should help her
उसने चिट्ठी अभी तक नहीं लिखी है।,he hasn't written the letter yet
कोई और रास्ता भी होगा।,there must be another way
मैं तुम्हें तुम्हारे होमवर्क के साथ मदद करना चाहता हूँ।,i want to help you with your homework
मेरा उसके साथ काफ़ी देर से सम्पर्क नहीं हुआ है।,i haven't got in touch with him for a long time
मेरा उसके साथ काफ़ी दिनों से सम्पर्क नहीं हुआ है।,i haven't got in touch with him for a long time
हम नदी को तैरकर पार कर पाए।,we managed to swim across the river
जंग के ऐलान का कारण साफ़ नहीं है।,the reason for declaring war is not certain
मैं बारसिलोना में २३ मार्च १९६९ में पैदा हुई थी।,i was born on  march  in barcelona
हम घर चलत हैं।,we're goin' home
हम घर जा रहें हैं।,we're going home
तुम्हें उसकी उम्र का भी लिहाज़ करना चाहिए।,you must take his age into account
वह आसानी से मान जाने वाला आदमी नहीं है।,he is not the sort of guy who gives in easily
अगर मैं नहीं आ पाया तो तुम्हें पहले फ़ोन करके बतादूँगा।,in case i can't come i'll give you a call beforehand
उसके पास तुमसे नाराज़ होने का पूरा हक है।,he has every reason for getting angry with you
माफ़ कीजिएगा अगर मैंने आपको परेशान किया तो।,i am sorry if i disturbed you
वह कभी भी इस बात का खयाल नहीं करता है कि मैं कितना व्यस्त हूँ।,he never takes into account the fact that i am very busy
तुम्हें यह करने के लिए बताया गया था,were you told to do so
यह टोपी उस ब्राऊन ड्रेस के साथ जचती नहीं है।,this hat does match the brown dress
मुझे इतिहास में दिलचस्पी है।,i'm interested in history
वह बूढ़ा किसान उसको बहुत पैसे नहीं देता था।,the old farmer did not pay him much money
इस काम को करने में ज़्यादा देर नहीं लगेगी।,it won't take long to do the job
तुम यह आसानी से कर सकता हो।,you can do this with ease
वह जल्द ही ठीक हो जाएगा।,he'll get well soon
मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।,i buried my dog at the pet cemetery
जॉन सवाल का जवाब नहीं देगा।,john will not answer the question
उसके नसीब में उससे फिरसे मिलना नहीं लिखा हुआ था।,he was destined never to meet her again
हार मत मान लो।,don't give in
कुत्ता रातभर भौंकता रहा।,the dog kept barking all night
वह हमको अच्छी तरह से जानता है।,he knows us very well
मुझे ठंड लग रही है। खिड़की बंद कर सकते हो क्या,i feel cold do you mind closing the window
जितनी किताबें पढ़ सकते हो पढ़ो।,read as many books as possible
धूम्रपान सेहत के लिए हानिकारक होता है।,smoking is dangerous to health
वह ग़लती करने से डरता है।,he is afraid of making mistakes
उसका दफ़्तर पैसे की कमी की वजह से बंद हो जाने वाला है।,his office is going to be shut down for want of money
तुम उसके बारे में ऐसे बात क्यों करते हो जैसे कि वह बूढ़ा आदमी हो,why do you talk about him as if he were an old man
समय तेज़ी से बीतता है।,time goes by quickly
मैं एक और तौलिया लाती हूँ।,i'll bring one more towel
अगर भूख लगी है तो ब्रेड खा सकते हो।,if you are hungry you can eat the bread
मेरे पापा बिजली की कम्पनी में काम करते हैं।,my father works for a power company
उसकी कही हुई बात अजीब लगती है।,what she says sounds strange
उसने मुझको बहुत देर तक घूरकर देखा।,she gazed at me for a long time
तुम किसी भी हालत में आज बाहर नहीं जा सकते।,on no account must you go out today
हम झील के पास एक होटल में ठहरे।,we stayed at a hotel by the lake
मुझे तुम्हारे बेगुनाह होने पर पूरा यकीन है।,i am fully convinced of your innocence
काश तुम स्पैनिश बोल सकते।,i wish you spoke spanish
मैं बड़े शहर में रहता हूँ।,i live in a big city
मैंने उसे अपना नौकर बना लिया।,i made him my servant
हमारे पास घर में दो कमरे हैं जिनका हम इस्तेमाल नहीं कर रहे हैं।,we have two unused rooms in our house
उसको कहानी पहले से ही पता थी।,she knew the story already
बेकरी में जो लड़की काम करती है वह बहुत क्यूट है।,the girl who works at the bakery is cute
मुझे नौवे महीने का नाम बताओ।,tell me the name of the ninth month
क्या तुम उस आदमी को उसकी तस्वीर से पहचान सकते हो,can you identify the man in this picture
माईक हर पहलू में अपने पापा जैसा है।,mike takes after his father in everything
जहाज़ में कितने लोग हैं,how many people are on board the ship
यह कुरसी बहुत छोटी है।,this chair is too small
मेरा एक भाई और दो बहनें हैं।,i've got one brother and two sisters
मेरे पास फ़ेसबुक खाता है।,i have a facebook account
क्या तुम भगवान में विश्वास करते हो,do you believe in god
मेरी तुम्हारे लिए यह सलाह है कि अपने दोस्तों से पैसे उधार मत लो।,i advise you not to borrow money from your friends
हमारे साथ रात का खाना खाएँगे ना,won't you join us for dinner
मैंने रात का खाना पकाया।,i cooked dinner
उसका बर्ताव आज बहुत अजीब है।,his behavior is very odd today
वह नगर सदियों तक दफ़न रहा।,the town lay buried for centuries
वह शर्मीली है और कम बोलती है।,she is shy and talks little
पापा कभी-कभी मुझे दफ़्तर ले जाया करते थे।,father sometimes took me to his office
हमारे लिए खुशखबरी घर पर इंतेज़ार कर रही थी।,good news was in store for us at home
मैं लेखक के तौर पर उनका आदर करता हूँ पर इनसान के तौर पर उन्हें पसंद नहीं करता।,much as i admire him as a writer i don't like him as a man
इस ड्रेस को कितनी जल्दी तैयार कर सकते हो,how soon can you have this dress ready
रिपोर्टर क्या आपने उसके लिए बिल्ली खरीदी थी,reporter did you buy her a kitten
जितना ऊँचा कूद सकते हो कूदो।,try to jump as high as possible
मैं उससे कल दोपहर को मिलना चाहता हूँ।,i'd like to see him tomorrow afternoon
मेरी घड़ी के हिसाब से चार बजे हैं।,it's four o'clock by my watch
वह सिपाही के रूप में चीन गया और कभी लौटकर नहीं आया।,he went to china as a soldier never to come back
उसको मेरी कामयाबी से जलन थी।,he envied my success
वह बैंक में काम करता है।,he works at a bank
आप इसके हित में हैं या नहीं,are you for or against this
ऊपर तक चढ़ जाओ।,climb to the top
मम्मी और मैं किसी भी पहलू में एक-समान नहीं हैं।,mother and i are different in every way
मैं एक ऐसी चीज़ ढूँढ रहा था जिसका अस्तित्व कभी था ही नहीं।,i was searching for something that didn't exist
समिति के अधिकांश सदस्यों ने बिल के पारित होने के खिलाफ़ मत दिया।,the majority of the committee voted against the bill
गाड़ी कौन चला रहा है,who's at the wheel
यह तो बहुत ही अच्छा सुझाव है।,that's really a great idea
उसको अकेले सैर पर जाना पसंद है।,he likes to take a solitary walk
गर्मी का मौसम मेरा सबसे पसंदीता मौसम है।,summer is the season i like best
हमको अपनी जीत का पूरा यकीन है।,we are firmly confident of victory
ऐसी चीज़ हर कहीं नहीं मिलती है।,such a thing cannot be found everywhere
माँ हाथ पकड़कर अपने बच्चे को ले जा रही है।,the mother is leading her child by the hand
हादसा कब हुआ,when did the accident happen
घटना कब हुई,when did the accident happen
मुझे शहर की ज़िन्दगी पसंद है।,i really like city life
मुझसे और नहीं चला जाएगा।,i can't walk any further
मुझे तुम्हें वापस बुलाना पड़ेगा।,i'm gonna have to call you back
चूहा ज़िन्दा है या मर गया है,is the mouse dead or alive
कितना बड़ा कद्दू है,what a big pumpkin
वे संगीत के बारे में बात कर रहे हैं।,they are talking about music
इतिहास की क्लास नौ बजे शुरू होती है।,the history class starts at nine
आदमी को उसको दोस्तों से पहचाना जा सकता है।,you can know a man by his friends
मेरे लिए तैरना आसान है।,swimming is easy for me
तुम आज खुश लगते हो।,you look happy today
मैं तभी से उसकी देखभाल करता आया हूँ।,i have been taking care of him ever since
अगर मेरा बेटा ट्रेफ़िक हादसे में नहीं मारा गया होता तो वह अभी कॉलेज जा रहा होता।,if my boy had not been killed in the traffic accident he would be a college student now
मेरी स्टेशन के रास्ते पर अपनी टीचर से मुलाकात हुई।,i met my teacher on the way to the station
एड्स के फैलाव की तेज़ गति बहुत भयानक है।,the speed of the spread of aids is horrifyingly fast
वह देशद्रोही बन गया।,he turned traitor
उसकी नौकरी का कोई भविष्य नहीं है।,there is no future in his job
पृथ्वी घूमती है।,the earth rotates
ओसाका में भारी बारिश हो रही थी।,it was raining heavily in osaka
इन परिस्तिथियों को ध्यान में रखकर मैं इस प्रस्ताव का स्वीकार नहीं कर सकता।,under the circumstances i cannot allow the request
कल हम एक बड़े से भूलभुलैया में गए थे।,yesterday we went into a huge maze
अब तो उसे कोई चमत्कार ही बचा सकता है।,nothing but a miracle can save her now
मैं टीवी देख देखकर थक गया हूँ।,i'm tired of watching television
एक आदमी के लिए काम करना ज़रूरी है।,a man must work
कृपया पाँच मिनट ठहरिए।,please wait five minutes
क्या आप इस समिति के सदस्य हैं,are you a member of this society
इस देश में हर पाँचवे व्यक्ति के पास गाड़ी है।,every fifth person has a car in this country
आप को गाँव में रहना पसंद है क्या,do you like to live in the country
वह बहुत पैसेवाला है।,he has a lot of money
उसने मुझसे कहा कि उसे कुत्ता पालने का मन था।,she told me that she wanted a pet dog
उसने अखबार के छोटे-छोटे अक्षरों को घूरा।,he peered at the small print in a newspaper
मैं अपनी नई गाड़ी से बहुत खुश हूँ।,i am really pleased with my new car
मैं कुछ कर सकता हूँ क्या,can i do anything
दक्षिण टर्मिनल कहाँ पर है,where is the south terminal
अरे मुझे भी सिखाओ,oh show me how
तुम उसपर भरोसा कर सकते हो।,you may rely on him
वह आज टीवी पर आएगी।,she is appearing on tv tonight
यह शब्द ग्रीक से आता है।,this word comes from greek
उसकी कहानी सच्ची नहीं हो सकती। वह अक्सर झूठ बोलती है।,her story can't be true she often tells lies
वह अपनी रोज़ी रोटी कैसे कमाता था,how did he earn his daily bread
दुनिया पागलों से भरी हुई है।,the world is a den of crazies
मैं चाहता हूँ कि तुम अपना वादा निभाओ।,i want you to keep your promise
उसकी आयु तीस साल से कम नहीं है।,she is not less than thirty
वह बस दिन में कितनी बार चलती है,how many times a day does that bus run
किसी और ने मदद करने की इच्छा प्रकट नहीं करी।,nobody else offered to help
मैं तुम्हें यह करने नहीं दे सकता।,i can't allow you to do that
मैं इस रविवार को ड्यूटी पर हूँगा।,i'll be on duty this sunday
मैं उससे शादी करना चाहता हूँ।,i want to marry her
हम अच्छे दोस्त हैं।,we are good friends
मैं अपना काम कर चुका हूँ।,i have already done my work
अपना मूँह खोलो,open your mouth
कल पार्क में एक भी बच्चा नहीं था।,there weren't any children in the park yesterday
खुलकर बोलूँ तो मैं उसके साथ काम नहीं करना चाहता।,frankly speaking i don't want to work with him
वे उसे समझदार मानते हैं।,they consider him intelligent
यह उसपर भी लागु होता है।,that applies to him too
रस्सी को पानी में फेंक दिया गया।,a rope was thrown into the water
वह मेरे लिए बहुत कठिन था।,it was too difficult for me
इस गाड़ी का पिछले दस साल से इस्तेमाल हो रहा है।,this car has been used for the past ten years
हम बॉब के आ जाने तक शुरू नहीं करेंगे।,we won't start till bob comes
मैं सुखभरी ज़िन्दगी जीना चाहता हूँ।,i want to live a happy life
मेरा पेट गुड़गुड़ा रहा है।,my stomach is growling
इसके बारे में चिंता करने से कोई फ़ायदा नहीं है।,it is no use worrying about it
एक माँ अपने बच्चों के बर्ताव के लिए ज़िम्मेदार होती है।,a mother is responsible for the conduct of her children
कृपया अंदर आईए।,please get in
तुम हमेशा शिकायत करते रहते हो।,you are always complaining
जाने से पहले आग को बुझाना मत भूलना।,be sure to put out the fire before you leave
वह बहुत सारे लोगों को जानता है।,he knows a lot of people
क्या आपको लगता है कि हमे अम्रीका से चावल का आयात करना चाहिए,do you think we should import rice from the us
ऑस्ट्रेलिया ऊन का बड़ी मात्रा में निर्यात करता है।,australia exports a lot of wool
तुम्हें आज कैसा लग रहा है,how do you feel today
उसके पास जीने के लिए ज़्यादा समय नहीं है।,he doesn't have long to live
वह अपने गुस्से को काबू में नहीं रख पाया।,he couldn't check his anger
तुम्हें मेरी बात सुन लेनी चाहिए थी।,you should have listened to me
फूल पानी के बिना मरे जा रहे थे।,the flowers were dying without water
ट्रेन के अंदर धूम्रपान करने पर प्रतिबंध लगा हुआ है।,smoking is banned in the train
उसने उसे अकेले न जाने की चेतावनी दी।,she warned him not to go alone
मैं कल उससे मिलने जा रहा हूँ।,i'm going to meet him tomorrow
मैं बेहोशी में चला गया।,i lost consciousness
मैं बेहोशी में चला गया।,i sank into unconsciousness
मैं बेहोश हो गया।,i lost consciousness
फ़ैक्टरी में काम अगले महीने से रुक जाएगा।,the factory will cease operations next month
मुझे बहुत सारे शब्दों और वाक्यांशों को रटना है।,i have to learn many words and phrases by heart
ज़्यादातर लोगों को टीवी देखना अच्छा लगता है।,most people like watching tv
तुम्हें नियमों का पालन करना चाहिए।,you should conform to the rules
क्या तुम अपने मम्मी-पापा के साथ रहते हो,do you live with your parents
अस्पताल में मुझसे बहुत देर तक इन्तज़ार करवाया गया।,i was kept waiting for a long time at the hospital
जब मैं उसके घर पर रही उसने मुझे रहने के लिए एक बड़ा सा कमरा दिया।,she gave me a large room while i stayed at her house
मुझे समझ में नहीं आ रहा क्या हुआ।,i cannot understand what happened
वे दोनों अच्छे अध्यापक हैं।,they are both good teachers
क्योंकि पानी की कोई भी कमी नहीं थी,because there was plenty of water
स्टेशन पास में है।,the station is nearby
ख़ुदा हाफ़िज़।,goodbye
अबसे आपकी हिफ़ाज़त के लिए हम ज़िम्मेदार हैं।,we are responsible for your protection from now on
यह उसके जितना बड़ा है।,this is as large as that
उसने मुझपर आलसी होने के लिए गुस्सा किया।,she reproached me for being lazy
क्या आप हमारे साथ खाना खाने नहीं आएंगे,won't you come to dine with us
आजकल कोई भी भूत-प्रेत में विश्वास नहीं करता।,nowadays nobody believes in ghosts
अगर बारिश नहीं होती है तो मैं भी जाऊँगा।,unless it rains i will go too
मैं घंटों तक उस चाबी को ढूँढता रहा जिसे मैंने गिरा दिया था।,i spent hours looking for the key that i had dropped
तुम कितनी देर से प्रतीक्षा कर रहे हो,how long have you waited
हम स्टेशन पर तब पहुँचे जब ट्रेन चल पड़ी थी।,we arrived at the station as the train was leaving
ये जूते मेरे लिए बहुत बड़े हैं।,these shoes are too big for me
मेरे घर के पड़ोस में आग लग गई थी।,a fire broke out near my house
तारीख चुन ली गई है पर जगह नहीं।,the date has been appointed but the place has not
मैं बाहर निकलने ही वाला था जब वह मुझसे मिलने आया।,i was about to go out when he came to see me
दोनो ने एक-एक करके कोशिश करी।,the two tried one after the other
विमान एक घंटे में उड़ान भरेगा।,the plane will take off in one hour
तुम नहीं आ रहे हो ना,you are not coming are you
उसको खुश करना बहुत मुश्किल है।,he is hard to please
उसने मेरी कमीज़ खींची।,she pulled my shirt
वह नगर दो मील दूर है।,that town is two miles away
वह नगर दो मील की दूरी पर है।,that town is two miles away
तुम अपने खाली समय में क्या करते हो,what do you do in your free time
जल्दी करोगे तो अभी भी ट्रेन पकड़ सकते हो।,hurry up and you can catch the train
यह मुझे संभालने दो।,let me handle this
वह परीक्षा में फ़ेल हो गया।,he failed in the examination
वह सफ़र की तैयारी में लगी हुई है।,she is busy preparing for the trip
माफ़ कीजिएगा पर मेरे पास छुट्टे नहीं हैं।,forgive me but i have no change
लड़का मुझको देखते ही भाग गया।,the boy ran away when he saw me
तुम्हारी योजना के लिए बहुत सारे पैसे की ज़रूरत है।,your plan requires a large amount of money
मैं भूख से मरा जा रहा हूँ।,i'm starving
मैं तुमपर भरोसा कर रहा हूँ।,i am counting on you
मुझे पीठ में बुरी तरह से दर्द हो रहा है।,i have a bad pain in my back
मैं आस-पड़ोस में रहता हूँ।,i live near here
वह अपने बालों को जूड़े में बाँधती है।,she wears her hair in a bun
वह मेरी गलती है।,that's my fault
उसने फटाफट चिट्ठी का जवाब दिया।,he lost no time answering the letter
मेरा नाम जैक है।,my name is jack
केन ने मुझे शतरंज में हरा दिया।,ken beat me at chess
उससे उसका बस्ता छीन लिया गया।,she had her bag snatched
मैंने अभी-अभी किताब को पढ़ना खतम किया है।,i have just finished reading the book
अब मेरे पास बहुत थोड़े पैसे हैं।,i have little money now
तुम्हारे लिए वहाँ तुरन्त जाना अनिवार्य है।,it is necessary for you to go there immediately
वह अपने बच्चों को रात में देर से जागने नहीं देगा।,he will not permit his children to sit up late
पानी का पाइप फट गया।,the water pipe burst
क्या तुम्हारे पास अपना खुद का कमरा है,do you have a room of your own
मौसम दिन-ब-दिन बदलता है।,the weather varies from day to day
तुम उसकी बात सुनते रहो तो वह बात करता ही जाएगा।,he keeps on talking forever if you listen to him
वह वहाँ उस घर में रहता है।,he lives in that house over there
उसका प्लान अभी भी हवा में ही है।,his plan is still in the air
उसने कहा कि वह खुश थी।,she said that she was happy
मुझे उनकी मदद करनी पड़ेगी।,i will have to help them
उसको इस कब्रिस्तान में बरी किया गया था।,he was buried in this graveyard
उसको इस कब्रिस्तान में दफ़नाया गया था।,he was buried in this graveyard
बच्चे को ज़बरदस्ती मत खिलाओ।,don't force the child to eat
मुझे लम्बी सैर के बाद भूख लग आई।,i felt hungry after the long walk
तुम यह कार्यक्रम देखना चाहते हो क्या,do you want to watch this program
लोगों के दिल-व-दिमाग में भय भरा हुआ था।,people were filled with fright
उसने गलत नम्बर मिला डाला।,she dialed the wrong number
हम उनको परेशान कर रहें हैं।,we are disturbing him
शायद तुम सही हो शायद मैं स्वार्थी रहा हूँ।,perhaps you are right i have been selfish
मुझे नहीं पता मेरे पास यह करने के लिए समय होगा कि नहीं।,i don't know if i'll have time to do it
लंदन दुनिया के सबसे बड़े शहरों में से एक है।,london is one of the largest cities in the world
हमने पिंक रंग वाले का ऑर्डर किया था पर हमे नीले रंग वाला मिला।,we ordered pink but we received blue
मुझे गिलास खाली मिला।,i found the glass empty
उसको मेहनत करने की आदत है।,he is used to hard work
तुम्हें इस मौके का फ़ायदा उठाना चाहिए।,you should make use of this chance
तुम्हें इस मौके को गवा नहीं देना चाहिए।,you should make use of this chance
हिरण अकेले दौड़ रहा था।,the deer was running by itself
सम्मेलन कल समाप्त होगा।,the conference will end tomorrow
वे हर साल और ज़्यादा गरीब हुए जा रहे थे।,from year to year they were growing poorer
तुम्हारे पास जहाँ भी जाने की मर्ज़ी हो वहाँ जाने की आज़ादी है।,you have the freedom to travel wherever you like
हमारे पास खुशखबर है।,we have good news
आपके लौटने की टिकट का बंदोबस्त हो गया है।,the ticket for your return journey has been arranged for
आप अपनी गाड़ी यहाँ खड़ी नहीं कर सकते।,you cannot park your car here
आप यहाँ कितने दिन रहेंगे,how long will you stay here
बरसात पूरे दिन होती रही।,the rain continued all day
इस मकान में ग्यारह कमरे हैं।,this house has eleven rooms
मेरा भाई पैसों के लिए मुझपर निर्भर है।,my brother depends on me for money
क्या यह अफ़वाह सच हो सकती है,can the rumor be true
वह अचानक से मशहूर बन गई।,she suddenly became famous
देखो रसोई में बिल्ली है।,look there's a cat in the kitchen
वहाँ मेरे अलावा और कोई नहीं था।,there was no one there besides me
वह हमेशा काले कपड़े पहनती है।,she is always dressed in black
वह बड़ा होकर डॉक्टर बनना चाहता है।,he will be a doctor when he grows up
तुम मुझसे क्या करवाना चाहते हो,what do you want me to do
क्या तुम बीमार हो,are you sick
उसने खिड़की पर ज़ोर लगाकर खटखटाया।,he hammered at the window
क्या आपको अपना नाप पता है,do you know your size
किसी को भी उसके निर्दोष होने का यकीन नहीं है।,no one believes that he is innocent
औरत की ताकत उसकी जीभ में होती है।,a woman's strength is in her tongue
मैंने उसे दस डॉलर के लिए बेच दिया।,i sold it for ten dollars
धूम्रपान आपको हानि पहुँचाएगा।,smoking will do you a lot of harm
उसने मुझे बताया कहाँ जाना है।,he told me where to go
बत्ती बंद करदो प्लीज़।,turn off the light please
कृपया बत्ती बंद कर दीजिए।,turn off the light please
मैंने टॉम को हाल में नहीं देखा है।,i haven't seen tom lately
तुम यहाँ पहले आए हुए हो क्या,have you been here before
उसको यकीन है कि वह परीक्षा में पास हो जाएगा।,he is confident that he will pass the examination
क्योटो में बहुत सारे पुराने मंदिर हैं।,there are many old temples in kyoto
योजना के बारे में कुछ ही लोगों को पता है।,few people know about the plan
उसने मुझसे थोड़े पैसे माँगे।,he asked me for some money
मैं दस बजे अम्रीका के लिए निकल गया।,i left for america at ten o'clock
आप गलत ट्रेन पर हैं।,you are on the wrong train
मुझे जवाब दो।,answer me
मेरे सवालों का जवाब दो।,answer my questions
दिन ढल रहा है। तुम्हें घर जाना चाहिए।,it's getting dark you'd better go home
हाथी एशिया और अफ़्रीका में रहते हैं।,elephants live in asia and africa
वह ईमानदार इनसान था इसलिए मैंने उसे नौकरी पर रख लिया।,as he was an honest man i employed him
यह कमरा काफ़ी देर से खाली रहा है।,the room has been empty for a long time
क्या मैं आपकी सहायता कर सकता हूँ,can i help you
क्या मैं आपकी मदद कर सकता हूँ,can i help you
हमे गति सीमा का पालन करना चाहिए।,we should observe the speed limit
पापा फूलों को पानी दे रहे हैं।,father is watering flowers
वह अपने काम से थक गया है।,he is weary of his work
आग ने नगर को तबाह कर दिया।,the fire devoured the town
मैं उसकी सलाह की वजह से कामयाब हो गया।,because of his advice i was able to succeed
इस नदी में जुलाई के महीने में तैरना खतरनाक होता है।,this river is dangerous to swim in in july
क्या तुम्हें मुझपर यकीन है,do you believe me
क्या तुम मुझपर यकीन करते हो,do you believe me
क्या तुम मेरा यकीन करते हो,do you believe me
क्या यह काला नहीं है,is it not black
क्या तुम्हें गोली लग गई थी,were you shot
बहुत कम लोग अपनी गलतियों को मानते हैं।,few people will admit their faults
लगातार तीन दिनों से बारिश हो रही है।,it has been raining for three days on end
उस पहाड़ की चोटी चपटी है।,the top of that mountain is flat
तुम्हें अपनी गलती छिपाने की ज़रूरत नहीं है।,you don't have to cover your mistake
वह खड़ा हो गया।,he stood up
मैंने खेल को शुरू से अंत तक देखा।,i watched the game from beginning to end
मैं उसके लिए परेशान था।,i was worried on her account
आज से दो हफ़्तों के बाद फिरसे आईएगा।,please come again two weeks from today
सारा ब्रॅड कहाँ चला गया,where did all the bread go
मैं आपकी मदद के लिए बहुत आभारी हूँ।,i am much obliged to you for your help
उसे देर से आने के लिए डाँट खानी पड़ी।,she was told off for being late
वह अपने भाई से तेज़ भागता था।,he ran faster than his brother did
मैंने दोपहरभर अपने दोस्तों से गप मारी।,i spent the whole afternoon chatting with friends
मुझे एक और उदाहरण दो।,show me another example
वह जो भी कहे मुझे उस पर यकीन है।,i believe whatever he says
आपके पास कितनी गाड़ियाँ हैं,how many cars do you have
अगर कॉफ़ी ज़्यादा कड़वी है तो थोड़ा और पानी डाललो।,if the coffee is too strong add some more water
मैं सोच रहा हूँ कि नौकरी लूँ या नहीं लूँ।,i'm wondering whether to take on that job
मुझे अकेला छोड़ दीजिए।,please leave me alone
मुझे उसके बयान की सच्चाई पर शक है।,i doubt the veracity of his statement
हम सब एक-साथ खड़े हो गए।,we all stood up at once
देखो रेलगाड़ी कितनी तेज़ी से चल रही है,how fast the train is running
मुझे आपसे मिलकर बहुत खुशी हुई।,i'm very happy to make your acquaintance
मैं नहीं चाहता था कि ऐसा हो।,i didn't want this to happen
मैं तुम्हारे बारे में सोच रहा हूँ।,i'm thinking about you
