English,Malayalam,length_eng_sentence,length_mal_sentence
in examinations the foolish ask questions that the wise cannot answer,പരീക്ഷകളില് ബുദ്ധിമാന്മാര്ക്ക് ഉത്തരം ചെയ്യാന് പറ്റാത്ത ചോദ്യങ്ങള് മന്ദബുദ്ധികള് ചോദിക്കുന്നു,11,8
we have enough time,ഞങ്ങൾക്ക് ആവശ്യത്തിന് സമയമുണ്ട്,4,3
the next train will be less crowded than this one,അടുത്ത ട്രെയിനിലെ തിരക്ക് ഇതിനേക്കാൾ കുറവായിരിക്കും,10,5
help me,എന്നെ സഹായിക്കൂ,2,2
be sure to turn off the gas before you go out,പുറത്ത് പോകുന്നതിനു മുമ്പ് ഗ്യാസ് അണച്ചു എന്നുറപ്പ് വരുത്തുക,11,7
i need a new bicycle,എനിക്ക് ഒരു പുതിയ സൈക്കിൾ വേണം,5,5
does mankind have dominion over animals and birds,മനുഷ്യരാശിക്ക് മൃഗങ്ങളുടെയും പക്ഷികളുടെയും മേൽ ആധിപത്യമുണ്ടോ,8,5
it is impossible to live without water,വെള്ളമില്ലാതെ ജീവിക്കുന്നത് അസാധ്യമാണ്,7,3
nothing was to be seen but water,വെള്ളമല്ലാതെ മറ്റൊന്നും കണ്ടില്ല,7,3
how was the math test,കണക്ക് പരീക്ഷ എങ്ങനെയുണ്ടായിരുന്നു,5,3
i do not like mathematics very much,എനിക്ക് കണക്ക് അത്ര ഇഷ്ടമല്ല,7,4
i am leaving town for a few days,ഞാൻ കുറച്ച് ദിവസത്തേക്ക് പട്ടണം വിടുകയാണ്,8,5
the government has been reforming education,സർക്കാർ വിദ്യാഭ്യാസത്തെ പരിഷ്ക്കരിച്ചു കൊണ്ടിരിക്കുകയാണ്,6,4
he must not live,അവൻ ജീവിക്കാൻ പാടില്ല,4,3
the year the war ended i was born,യുദ്ധം തീർന്ന വർഷമാണ് ഞാൻ ജനിച്ചത്,8,5
i remember seeing him before,ഞാന് അവനെ മുമ്പ് കണ്ടതായി ഓര്ക്കുന്നു,5,5
all books may be divided into two classes,എല്ലാ പുസ്തകങ്ങളെയും രണ്ടു വിഭാഗങ്ങളിലായി വേര്തിരിക്കാന് സാധിക്കും,8,6
please open the window,ദയവായി ആ ജനാല തുറക്കൂ,4,4
the prime minister resigned yesterday,പ്രധാന മന്ത്രി ഇന്നലെ രാജിവച്ചു,5,4
what else do you want,വേറെ എന്താണ് നിനക്ക് വേണ്ടത്,5,4
one should not speak ill of others,ആരും മറ്റുള്ളവരെ കുറിച്ച് മോശമായി സംസാരിക്കാൻ പാടില്ല,7,6
the sun is so distant from the earth,സൂര്യന് ഭൂമിയില് നിന്ന് വളരെ ദൂരെയാണ്,8,5
there's no point in waiting,കാത്തിരുന്നിട്ട് കാര്യമില്ല,5,2
who will be elected chairman,ചെയർമാനായി ആരെയാണ് തെരഞ്ഞെടുക്കാൻ പോകുന്നത്,5,4
everyone has their own strong and weak points,എല്ലാവര്ക്കും തങ്ങളുടെതായ ശക്തിയും ദൗര്ബല്യങ്ങളും ഉണ്ട് ,8,6
nobody came to help me,ആരും എന്നെ സഹായിക്കാൻ വന്നില്ല,5,4
the earth is round,ഭൂമി ഉരുണ്ടതാണ്,4,2
the earth is round,ഭൂമി ഉരുണ്ടത്‌ ആണ്,4,3
he was sentenced to three years in jail,അവനെ മൂന്ന് വര്ഷത്തെ തടവിനായി വിധിച്ചു,8,5
the audience applauded him which means his performance was a success,കേള്വിക്കാര് അവനെ കൈകൊട്ടി അഭിനന്ദിച്ചു അതായതു അവന്റെ പ്രകടനം വിജയിച്ചു,11,8
if i had been a bird i could have flown to you,ഞാൻ ഒരു പക്ഷിയായിരുന്നെങ്കിൽ എനിക്ക് നിന്റെ അടുത്തേക്ക് പറന്നു വരാമായിരുന്നു,12,8
the garden was larger than i had expected,ഞാന് പ്രതീക്ഷച്ചതിനേക്കാള് വലുതാണ് ഈ പൂന്തോട്ടം,8,5
don't give up,വിട്ടു കൊടുക്കരുത്,3,2
they'll kill me,അവർ എന്നെ കൊല്ലും,3,3
the price of meat dropped,ഇറച്ചിയുടെ വില കുറഞ്ഞു,5,3
the rainbow has seven colors,മഴവില്ലിന് ഏഴ് നിറങ്ങളുണ്ട്,5,3
remove your shoes in a japanese house,ജാപനീസ് ഗൃഹങ്ങളില് നിങ്ങളുടെ പാദരക്ഷകള് അഴിക്കുക,7,5
can you come on sunday evening,ഞായറാഴ്ച വൈകുന്നേരം നിനക്ക് വരാൻ പറ്റുമോ,6,5
the cat slept on the table,ആ പൂച്ച മേശപ്പുറത്ത് ഉറങ്ങി,6,4
the cat scratched my hand,ആ പൂച്ച എന്റെ കൈയിൽ മാന്തി,5,5
not being tall is not a serious disadvantage in life,പൊക്കമില്ലായ്മ ജീവിതത്തില് അത്ര വലിയ പോരായ്മയല്ല,10,5
he and i are teachers,അവനും ഞാനും അദ്ധ്യാപകരാണ്,5,3
i remember having seen him somewhere before,ഞാൻ അവനെ മുമ്പെവിടെയോ കണ്ടതായി ഓർക്കുന്നു,7,5
the content of his speech was very good,അവന്റെ പ്രസംഗത്തിന്റെ ഉള്ളടക്കം വളരെ നല്ലതായിരുന്നു,8,5
i have no money in my pocket,എന്റെ കീശയിൽ കാശില്ല,7,3
his opinion is right to some extent,അവന്റെ അഭിപ്രായം ഒരു പരിധി വരെ ശരിയാണ്,7,6
i am concerned about his health,എനിക്ക് അവന്റെ ആരോഗ്യത്തെപ്പറ്റി ആശങ്കയുണ്ട്,6,4
his brother is always watching tv,അവന്റെ സഹോദരൻ എപ്പോഴും ടിവി കണ്ടുകൊണ്ടിരിക്കും,6,5
his horse jumped over the fence,അവന്റെ കുതിര വേലിക്ക് മുകളിലൂടെ ചാടി,6,5
he is twice as old as i,അവന് എന്റെ ഇരട്ടി പ്രായമുണ്ട്,7,4
he came home three hours later,അവൻ മൂന്ന് മണിക്കൂർ കഴിഞ്ഞ് വീട്ടിൽ തിരിച്ചെത്തി,6,6
his mother said that he had been ill in bed for five weeks,അഞ്ചാഴ്ചയായി അവൻ അസുഖം ബാധിച്ച് കിടക്കയിലായിരുന്നുവെന്ന് അവന്റെ അമ്മ പറഞ്ഞു,13,8
he was born in africa,അവൻ ആഫ്രിക്കയിലാണ് ജനിച്ചത്,5,3
he will return to japan some day,അവൻ ജപ്പാനിലേക്ക് എന്നെങ്കിലും ഒരിക്കൽ തിരിച്ചു പോകും,7,6
he is always studying,അവൻ എപ്പോഴും പഠിച്ചു കൊണ്ടിരിക്കും,4,4
he asked for money,അവൻ പണത്തിനായി ആവശ്യപ്പെട്ടു,4,3
he's a student at this college,അവൻ ഈ കലാലയത്തിലെ വിദ്യാർത്ഥിയാണ്,6,4
he doesn't know how to play golf,അവന് ഗോൾഫ് എങ്ങനെയാണ് കളിക്കുന്നതെന്ന് അറിയില്ല,7,5
he began to feel afraid,അവൻ ഭയപ്പെടാൻ തുടങ്ങി,5,3
did he go there,അവൻ അവിടെ പോയോ,4,3
he did the crossword with ease,അവൻ വളരെ എളുപ്പത്തിൽ പദപ്രശ്നം പൂരിപ്പിച്ചു,6,5
he's nothing,അവൻ ഒന്നുമല്ല,2,2
he's much younger than tom,അവൻ ടോമിനേക്കാൾ വളരെ ചെറുപ്പമാണ്,5,4
he comes here once a month,അവൻ ഇവിടെ മാസത്തിലൊരിക്കൽ വരും,6,4
he decided to go to france,അവൻ ഫ്രാൻസിലേക്ക് പോകാൻ തീരുമാനിച്ചു,6,4
he will come back in another two weeks,അവന് രണ്ടാഴ്ചയ്ക്കുള്ളില് തിരിച്ചു വരും,8,4
as he often tells lies nobody believes him,അവൻ എപ്പോഴും കള്ളം പറയുന്നത് കൊണ്ട് ആരും അവനെ വിശ്വസിക്കാറില്ല,8,8
he is worthy to be captain of our team,അവൻ നമ്മുടെ ടീമിന്റെ നായകനാകാൻ യോഗ്യനാണ്,9,5
he dedicated his life to medical work,അവൻ വൈദ്യശാസ്ത്രത്തിനുവേണ്ടി അവന്റെ ജീവിതം സമർപ്പിച്ചു,7,5
he can swim,അവന് നീന്താൻ കഴിയും,3,3
he cannot write english without making mistakes,അവന് തെറ്റ് വരുത്താതെ ഇംഗ്ലീഷ് എഴുതാൻ സാധിക്കില്ല,7,6
he lives in that yellow house,അവൻ ആ മഞ്ഞ വീട്ടിലാണ് താമസിക്കുന്നത്,6,5
he ran into the classroom,അവൻ ക്ലാസ് മുറിയിലേക്ക് ഓടി,5,4
he is no stranger to me,അവൻ എനിക്കൊരു അപരിചതനല്ല,6,3
he's writing a book now,അവൻ ഇപ്പോൾ ഒരു പുസ്തകം എഴുതുകയാണ്,5,5
he caught the ball with his left hand,അവന്റെ ഇടതുകൈ കൊണ്ട് അവൻ പന്ത് പിടിച്ചു,8,6
he sent me a present,അവനെനിക്കൊരു സമ്മാനം അയച്ചു തന്നു,5,4
he gave a nice present to me,അവൻ എനിക്ക് ഒരു നല്ല സമ്മാനം തന്നു,7,6
he was hurt in a car accident,അവന് ഒരു കാർ അപകടത്തിൽ പരിക്കേറ്റു,7,5
he is confident of his ability,അവന് അവന്റെ കഴിവിൽ ആത്മവിശ്വാസമുണ്ട്,6,4
he wants a new car,അവനൊരു പുതിയ കാർ വേണം,5,4
he told the truth,അവൻ സത്യം പറഞ്ഞു,4,3
he got good marks in math,അവന് കണക്കിൽ നല്ല മാർക്ക് കിട്ടി,6,5
it is said that he has a lot of old coins,അവന്റെ കൈയ്യിൽ വളരെയധികം പഴയ നാണയങ്ങൾ ഉള്ളതായി പറയപ്പെടുന്നു,11,7
he heard the noise,അവന് ആ ശബ്ദം കേട്ടു,4,4
he had come back from china,അവൻ ചൈനയിൽ നിന്നു തിരിച്ചുവന്നിരുന്നു,6,4
he began to eat lunch,അവന് ഊണ് കഴിക്കാന് തുടങ്ങി,5,4
he fell off the horse,അവൻ കുതിരപ്പുറത്ത് നിന്ന് താഴെ വീണു,5,5
he asked her where she lived,അവൻ അവൾ എവിടെയാണ് താമസിക്കുന്നത് എന്നു ചോദിച്ചു,6,6
he stared her in the face,അവന് അവളുടെ മുഖത്തേക്ക് തുറിച്ച് നോക്കി,6,5
he followed in his father's footsteps,അവൻ അവന്റെ അച്ഛന്റെ കാൽപ്പാടുകൾ പിന്തുടർന്നു,6,5
he looked at her angrily,അവൻ അവളെ ദേഷ്യത്തോടെ നോക്കി,5,4
he is a nice person,അവൻ ഒരു നല്ല മനുഷ്യനാണ്,5,4
he does not come here every day,അവന് എല്ലാദിവസവും ഇവിടെ വരാറില്ല,7,4
he likes baseball very much,അവന് ബേസ്ബോൾ വളരെയധികം ഇഷ്ടമാണ്,5,4
they had a baby last week,കഴിഞ്ഞയാഴ്ച അവര്ക്കൊരു കുട്ടിയുണ്ടായി,6,3
they did not give up hope,അവര് പ്രതീക്ഷ കൈവിട്ടില്ല,6,3
they are willing to do it for you,അവർ നിനക്ക് വേണ്ടി അത് ചെയ്യാൻ തയ്യാറാണ്,8,6
they won't allow us to enter the garden,പൂന്തോട്ടത്തിൽ പ്രവേശിക്കാൻ അവർ നമ്മളെ അനുവദിക്കില്ല,8,5
they are looking for a house to live in,അവർ താമസിക്കാനായി ഒരു വീടു നോക്കിക്കൊണ്ടിരിക്കുകയാണ്,9,5
they laughed and cried at the same time,അവർ ഒരേ സമയം ചിരിക്കുകയും കരയുകയും ചെയ്തു,8,6
as soon as i saw him i burst into laughter,അവനെ കണ്ടപ്പോൾ തന്നെ ഞാൻ പൊട്ടിച്ചിരിക്കാൻ തുടങ്ങി,10,6
we found it impossible to persuade him,അവനെ സ്വാധീനിക്കുക എന്നുള്ളത് അസാധ്യമാണെന്ന് ഞങ്ങൾ കണ്ടെത്തി,7,6
we heard her cry,ഞങ്ങള് അവള് കരയുന്നത് കേട്ടു,4,4
she has been dead for ten years,അവൾ മരിച്ചിട്ട് പത്ത് വർഷങ്ങൾ ആയി,7,5
it is doubtful whether she will come on time,അവൾ സമയത്ത് വരുമോ എന്നുള്ളത് സംശയമാണ്,9,5
her words made me mad,അവളുടെ വാക്കുകൾ എന്നെ ഭ്രാന്തനാക്കി,5,4
the students around her were talking about the test,അവളുടെ ചുറ്റുമുള്ള വിദ്യാർത്ഥികൾ പരീക്ഷയെ പറ്റി സംസാരിക്കുകയായിരുന്നു,9,6
her hair is long,അവളുടെ മുടി നീണ്ടതാണ്,4,3
try to see the problem from her point of view,അവളുടെ കാഴ്ചപ്പാടിൽ നിന്ന് ആ പ്രശ്നത്തെ കാണാൻ ശ്രമിക്കൂ,10,7
she taught music for thirty years,അവള് മുപ്പതു വര്ഷം സംഗീതം പഠിപ്പിച്ചു,6,5
she went from one shop to another,അവൾ ഒരു കടയിൽ നിന്ന് മറ്റൊന്നിലേക്ക് പോയി,7,6
she stirred the soup with a spoon,അവൾ സ്പൂൺ കൊണ്ട് സൂപ്പ് ഇളക്കി,7,5
she was very surprised at the sight,അവൾ ആ കാഴ്ച കണ്ട് വളരെയധികം അത്ഭുതപ്പെട്ടു,7,6
she stopped smoking,അവൾ പുകവലി നിർത്തി,3,3
do you know what color she likes,അവൾക്കേതു നിറമാണ് ഇഷ്ടമുള്ളതെന്ന് നിനക്ക് അറിയാമോ,7,5
she played on the violin,അവൾ വയലിൻ വായിച്ചു,5,3
she can't ride a bicycle yet,അവൾക്കിതു വരെ ഒരു സൈക്കിൾ ഓടിക്കാൻ അറിയില്ല,6,6
she talks as if she knew everything,അവൾക്കെല്ലാം അറിയാം എന്നപ്പോലെയാണ് അവൾ സംസാരിക്കുന്നത്,7,5
she married a rich merchant,അവൾ ഒരു ധനികനായ വ്യാപാരിയെ വിവാഹം ചെയ്തു,5,6
she decided not to go,അവൾ പോകുന്നില്ല എന്ന് തീരുമാനിച്ചു,5,4
she left home just now,അവൾ ഇപ്പോൾ വീട്ടിൽ നിന്ന് പുറപ്പെട്ടതേ ഉള്ളൂ,5,6
she celebrated her fifteenth birthday yesterday,അവൾ അവളുടെ പതിനഞ്ചാം പിറന്നാൾ ഇന്നലെ ആഘോഷിച്ചു,6,6
she is my elder sister,അവൾ എന്റെ മൂത്ത സഹോദരിയാണ്,5,4
she will be famous in the future,അവള് ഭാവിയില് പ്രശസ്തയാകും,7,3
she has a small black dog,അവള്ക്കൊരു ചെറിയ കറുത്ത പട്ടിയുണ്ട്,6,4
she traveled all over the world,അവള് ലോകമെമ്പാടും സഞ്ചരിച്ചു,6,3
she is ignorant of the world,അവള്ക്ക് ലോകവിവരം ഇല്ലായിരുന്നു,6,3
she gets up early every morning,അവൾ എന്നും രാവിലെ നേരത്തെ എഴുന്നേൽക്കും,6,5
she has attractive eyes,അവൾക്ക് ആകർഷണീയമായ കണ്ണുകളുണ്ട്,4,3
she cooks well,അവള് നന്നായി പാചകം ചെയ്യും,3,4
she got a slight burn on her hand while cooking,പാചകത്തിനിടെ അവളുടെ കൈയ്ക്ക് ചെറുതായി പൊള്ളലേറ്റു,10,5
she tried not to shed tears,അവൾ കരയാതിരിക്കാൻ ശ്രമിച്ചു,6,3
they gave him a chance to escape,അവർ അവന് രക്ഷപ്പെടാൻ ഒരവസരം കൊടുത്തു,7,5
mahatma gandhi the apostle of nonviolence was born in ,അഹിംസയുടെ അപ്പസ്തോലനായ മഹാത്മ ഗാന്ധി -ലാണ് ജനിച്ചത്,10,6
i can't sleep at night,എനിക്ക് രാത്രി ഉറങ്ങാൻ കഴിയുന്നില്ല,5,4
there is a time for all things,എല്ലാത്തിനും അതിന്റേതായ സമയമുണ്ട്,7,3
mother has made me what i am,അമ്മയാണ് എന്നെ ഞാനാക്കിയത്,7,3
don't forget to call me,എന്നെ വിളിക്കാൻ മറക്കരുത്,5,3
leave it to me,അതെനിക്ക് വിട്ടു തരിക,4,3
i brush my teeth twice a day,ഞാൻ ഒരു ദിവസത്തിൽ രണ്ടു തവണ പല്ല് തേയ്ക്കും,7,7
i can't trust in his word,എനിക്ക് അവന്റെ വാക്ക് വിശ്വസിക്കാൻ കഴിയില്ല,6,5
he doesn't like us,അവന് ഞങ്ങളെ ഇഷ്ടമല്ല,4,3
it will be raining at this time tomorrow,നാളെ ഇതേ സമയത്ത് മഴ പെയ്യുകയായിരിക്കും,8,5
i don't think it'll rain tomorrow,നാളെ മഴ പെയ്യുമെന്ന് എനിക്ക് തോന്നുന്നില്ല,6,5
come again tomorrow,നാളെ വീണ്ടും വരൂ,3,3
tomorrow we will encounter the enemy,നാളെ നമ്മള് ശത്രുക്കളുമായി ഏറ്റുമുട്ടും,6,4
come and see me tomorrow,എന്നെ നാളെ വന്നു കാണൂ,5,4
i'm awake,ഞാൻ ഉണർന്നിരിക്കുകയാണ്,2,2
the eye is the mirror of the soul,കണ്ണ് ആത്മാവിന്റെ കണ്ണാടിയാണ്,8,3
wild animals live in the forest,വന്യ മൃഗങ്ങള് കാട്ടിലാണ് ജീവിക്കുന്നത്,6,4
my friend got good marks in the english examination,എന്റെ സുഹൃത്തിന് ഇംഗ്ലീഷ് പരീക്ഷയിൽ നല്ല മാർക്ക് കിട്ടി,9,7
taxi fares will go up next month,ടാക്സി വാടക അടുത്ത മാസം കൂടും,7,5
she is an expert when it comes to cooking,അവൾ ഒരു പാചക വിദഗ്ധയാണ്,9,4
i don't know how to cook,എനിക്ക് പാചകം ചെയ്യാന് അറിയില്ല,6,4
please raise your hand before you speak,ദയവായി നിങ്ങള് സംസാരിക്കുന്നതിന് മുമ്പ് നിങ്ങളുടെ കൈ ഉയര്ത്തുക,7,7
everyone makes mistakes,എല്ലാവർക്കും തെറ്റുപറ്റും,3,2
don't challenge someone who has nothing to lose,ഒന്നും നഷ്ടപ്പെടാനില്ലാത്തവെ വെല്ലുവിളിക്കരുത്,8,3
i have been to rome,ഞാന് റോമില് പോയിട്ടുണ്ട്,5,3
please wrap it like a christmas present,ദയവായി ഇതൊരു ക്രിസ്മസ് സമ്മാനം പോലെ പൊതിയൂ,7,6
how do you say this word,ഈ വാക്ക് എങ്ങനെയാണ് ഉച്ചരിക്കുന്നത്,6,4
this is a wooden table,ഇതൊരു തടിമേശയാണ്,5,2
it rained as soon as he got home,അവന് വീട്ടില് എത്തിച്ചേര്ന്നയുടന് മഴ പെയ്യാന് തുടങ്ങി,8,6
this is not cool,ഇത് തണുത്തതല്ല,4,2
i didn't know that he was there,അവൻ അവിടെയുണ്ടായിരുന്നുവെന്ന് എനിക്കറിയില്ലായിരുന്നു,7,3
what did you do yesterday evening,നീ ഇന്നലെ വൈകുന്നേരം എന്താണ് ചെയ്തത്,6,5
we expect a lot from him,ഞങ്ങൾ അവനിൽ നിന്നും ഏറെ പ്രതീക്ഷിക്കുന്നു,6,5
no one is working everyone's watching the world cup,ആരും ജോലി ചെയ്യുന്നില്ല എല്ലാവരും ലോകകപ്പ് കാണുകയാണ്,9,6
did you find the difference between these two photos,ഈ രണ്ട് ചിത്രങ്ങൾ തമ്മിലുള്ള വ്യത്യാസം നീ കണ്ടുപിടിച്ചോ,9,7
she is beautiful,അവൾ സുന്ദരിയാണ്‌,3,2
i like you,എനിക്ക് നിന്നെ ഇഷ്ടമാണ്,3,3
i'm a new student,ഞാന് ഒരു പുതിയ വിദ്യാര്ഥി ആണ്,4,5
will you come back tomorrow,നീ നാളെ തിരിച്ചു വരുമോ,5,4
i understand,ഞാൻ മനസ്സിലാക്കുന്നു,2,2
don't touch it,അത് തൊടരുത്,3,2
come along with us,ഞങ്ങളുടെ കൂടെ വരൂ,4,3
come with us,ഞങ്ങളുടെ കൂടെ വരൂ,3,3
i'm really tired,ഞാന് ശരിക്കും തളര്ന്നു,3,3
do you like snow,നിനക്ക് മഞ്ഞ് ഇഷ്ടമാണോ,4,3
he sells fruit,അവന് ഫലങ്ങള് വില്ക്കുന്നു,3,3
he weighs  kilos,അവന് എഴുപത് കിലോ ഭാരമുണ്ട്,4,4
i hate coffee,എനിക്ക് കാപ്പി ഇഷ്ടമല്ല,3,3
how many guests are there,എത്ര അതിഥികളുണ്ട്,5,2
i am from egypt,ഞാൻ ഈജിപ്തിൽ നിന്നാണ്,4,3
i am sure,എനിക്ക് ഉറപ്പാണ്,3,2
i forgot,ഞാന് മറന്നു,2,2
i have a wooden table,എനിക്കൊരു തടിമേശയുണ്ട്,5,2
i'll kill you,ഞാൻ നിന്നെ കൊല്ലും,3,3
i need a hammer,എനിക്കൊരു ചുറ്റിക വേണം,4,3
i teach english,ഞാൻ ഇംഗ്ലീഷ് പഠിപ്പിക്കുന്നു,3,3
please open the bottle,ദയവായി ഈ കുപ്പി തുറക്കുക,4,4
we don't have time,നമുക്ക് സമയമില്ല,4,2
my favourite sport is football,കാൽപ്പന്താണ് എനിക്ക് എറ്റവും ഇഷ്ടമുള്ള കളി,5,5
what should i do,ഞാൻ എന്താണ് ചെയ്യേണ്ടത്,4,3
no one lives in this building,ഈ കെട്ടിടത്തില് ആരും താമസിക്കുന്നില്ല,6,4
he wrote one letter,അവൻ ഒരു കത്തെഴുതി,4,3
fish can't live out of water,മത്സ്യങ്ങൾക്ക് വെള്ളത്തിന് പുറത്ത് ജീവിക്കാൻ സാധിക്കില്ല,6,5
i don't have money but i have dreams,എനിക്ക് പണമില്ല പക്ഷേ എനിക്ക് സ്വപ്നങ്ങളുണ്ട്,8,5
i have two brothers and a sister,എനിക്ക് രണ്ട് സഹോദരന്മാരും ഒരു സഹോദരിയും ഉണ്ട്,7,6
i lost my key,എനിക്ക് എന്റെ താക്കോൽ നഷ്ടപ്പെട്ടു,4,4
the main streets are very wide,പ്രധാന വീഥികളെല്ലാം വളരെ വലുതാണ്,6,4
this chair is too small,ഈ കസേര വളരെ ചെറുതാണ്,5,4
unfortunately i cannot help them,ദൗര്ഭാഗ്യവശാല് എനിക്കവരെ സഹായിക്കാന് കഴിയില്ല,5,4
we had to shut the window because of the mosquitoes,കൊതുകുകൾ കാരണം ഞങ്ങൾക്ക് ജനാല അടയ്ക്കേണ്ടി വന്നു,10,6
weather changes often,കാലാവസ്ഥ എപ്പോഴും മാറിക്കൊണ്ടിരിക്കും,3,3
what do you like to do,നിനക്ക് എന്തു ചെയ്യാനാണ് ഇഷ്ടം,6,4
what he did wasn't wrong,അവൻ ചെയ്തത് എന്താണോ അത് തെറ്റല്ല,5,5
my son is taller than i am,എന്റെ മകന് എന്നേക്കാള് ഉയരമുണ്ട്,7,4
he came back home three days later,അവന് മൂന്ന് ദിവസം കഴിഞ്ഞ് വീട്ടില് തിരിച്ചെത്തി,7,6
there are many fish in this lake,ഈ കായലിൽ വളരെയധികം മത്സ്യങ്ങളുണ്ട്,7,4
as far as i know he's an honest man,എന്റെ അറിവില് അവനൊരു സത്യസന്ധനമാണ്,9,4
will it rain tomorrow,നാളെ മഴ പെയ്യുമോ,4,3
don't make noise,ശബ്ദമുണ്ടാക്കരുത്,3,1
he closed the door,അവൻ വാതിൽ അടച്ചു,4,3
today is independence day,ഇന്ന് സ്വാതന്ത്ര്യദിനമാണ്,4,2
she likes these cats,അവൾക്ക് ഈ പൂച്ചകളെ ഇഷ്ടമാണ്,4,4
she thought that i was a doctor,ഞാൻ ഒരു ഡോക്ടറാണെന്ന് അവൾ വിചാരിച്ചിരുന്നു,7,5
it's been a long time since i visited my grandmother,ഞാന് എന്റെ അമ്മൂമ്മയെ സന്ദര്ശിച്ചിട്ട് കുറെ നാളായി,10,6
i don't believe in god,ഞാന് ദൈവത്തില് വിശ്വസിക്കുന്നില്ല,5,3
there are forty students in our class,ഞങ്ങളുടെ ക്ലാസ്സിൽ നാൽപ്പത് വിദ്യാർത്ഥികളുണ്ട്,7,4
what year were you born,നിങ്ങള് ഏതു വര്ഷമാണ് ജനിച്ചത്,5,4
what year were you born,നിങ്ങള് ഏതു വര്ഷം ആണ് ജനിച്ചത്‌ ,5,6
today is monday,ഇന്ന് തിങ്കളാഴ്ചയാണ്,3,2
it's difficult to answer this question,ഈ ചോദ്യത്തിന് ഉത്തരം പറയാൻ ബുദ്ധിമുട്ടാണ്,6,5
don't enter the room without permission,അനുവാദമില്ലാതെ മുറിയിൽ പ്രവേശിക്കരുത്,6,3
he weighs ten more kilos than me,അവന് എന്നേക്കാൾ പത്തു കിലോ കൂടുതലാണ്,7,5
he can run faster than me,അവന് എന്നേക്കാൾ വേഗത്തിൽ ഓടാൻ കഴിയും,6,5
i won't smoke from today on,ഞാൻ ഇന്ന് മുതൽ പുകവലിക്കില്ല,6,4
alan is a poet,അലൻ ഒരു കവിയാണ്,4,3
i'm with you,ഞാൻ നിന്റെ കൂടെയുണ്ട്,3,3
i visited him on sunday morning,ഞാൻ ഞായറാഴ്ച രാവിലെ അവനെ സന്ദർശിച്ചു,6,5
he must have left,അവൻ പോയി കാണും,4,3
which came first the chicken or the egg,ഏതാണ് ആദ്യം വന്നത് കോഴിയോ അതോ മുട്ടയോ,8,6
i thought that he would come,ഞാന് അവന് വരുമെന്ന് വിചാരിച്ചു,6,4
you must read this book,നിങ്ങള് ഈ പുസ്തകം വായിക്കണം,5,4
i gave her her dictionary back,ഞാൻ അവളുടെ നിഘണ്ടു അവൾക്ക് തിരിച്ചു കൊടുത്തു,6,6
please tell us about your family,ദയവായി നിങ്ങളുടെ കുടുംബത്തെ പറ്റി ഞങ്ങളോട് പറയൂ,6,6
suddenly he saw me,പെട്ടെന്ന് അവന് എന്നെ കണ്ടു,4,4
she likes ice cream,അവള്ക്ക് ഐസ് ക്രീം ഇഷ്ടമാണ്,4,4
yesterday i bought a dog sadly my aunt cooked it for dinner,ഇന്നലെ ഞാനൊരു നായയെ വാങ്ങിച്ചു ദൗര്ഭാഗ്യവശാല് എന്റെ മാമി അതിനെ അത്താഴത്തിന് പാചകം ചെയ്തു,12,11
what do you see in the picture,നീ ആ ചിത്രത്തില് എന്താണ് കാണുന്നത്,7,5
a man has ten fingers,ഒരു മനുഷ്യന് പത്ത് വിരലുകളുണ്ട്,5,4
there are twenty-four hours in a day,ഒരു ദിവസത്തില് ഇരുപത്തി നാല് മണിക്കൂര് ഉണ്ട്,7,6
she might come tomorrow,അവൾ നാളെ വന്നേക്കും,4,3
i work in a bank,ഞാൻ ഒരു ബാങ്കിൽ ജോലി ചെയ്യുന്നു,5,5
i sent it to you two days ago,ഞാൻ രണ്ട് ദിവസം മുമ്പ് അത് നിനക്ക് അയച്ചു,8,7
the sky was dark,ആകാശം ഇരുണ്ടിരുന്നു,4,2
the distance from my home to yours is two kilometers,എന്റെ വീട്ടിൽ നിന്നും നിന്റെ വീട് വരെ രണ്ട് കിലോമീറ്റർ ദൂരമുണ്ട്,10,9
my throat is dry,എന്റെ തൊണ്ട വരണ്ടിക്കുകയാണ്,4,3
i have no wish to live in a large city,ഒരു വലിയ നഗരത്തിൽ ജീവിക്കാൻ എനിക്ക് ഒരാഗ്രഹവുമില്ല,10,6
the pyramids of egypt are one of the seven wonders of the world,ഈജിപ്തിലെ പിരമിഡുകൾ ലോകത്തിലെ ഏഴ് അത്ഭുതങ്ങളിൽ ഒന്നാണ്,13,6
her beauty attracted everyone in the room,അവളുടെ സൗന്ദര്യം മുറിയിലുണ്ടായിരുന്ന എല്ലാവരെയും ആകർഷിച്ചു,7,5
someone stole my bag,ആരോ എന്റെ ബാഗ് മോഷ്ടിച്ചു,4,4
she'll be seventeen in february,അവൾക്ക് ഫെബ്രുവരിയിൽ പതിനേഴ് തികയും,5,4
she left without saying even a single word,ഒരു വാക്ക് പോലും മിണ്ടാതെ അവൾ പോയി,8,6
this novel is very difficult to understand,ഈ നോവൽ മനസ്സിലാക്കാൻ വളരെ പ്രയാസമാണ്,7,5
david can't be at home,ഡേവിഡ് വീട്ടിൽ കാണാൻ വഴിയില്ല,5,4
people love dogs,ആൾക്കാർക്ക് നായകളെ ഇഷ്ടമാണ്,3,3
he asked my mother,അവൻ എന്റെ അമ്മയോടു ചോദിച്ചു,4,4
